word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12
הכשכמה,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
הלכשבכ,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
הלכשכב,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
הלכשככ,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
הלכשכל,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
הלכשכמ,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
הלכשלכ,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
הלכשמה,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.4,1
הלכשמכ,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
המשכמה,0.4,1,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
והכשבכ,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
והכשכב,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
והכשככ,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
והכשכל,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
והכשכמ,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
והכשלכ,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
והכשמה,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.4,1
והכשמכ,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
והלכשב,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1
והלכשה,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.4,1
והלכשכ,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5
והלכשל,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5
והלכשמ,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1
והמשבכ,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
והמשכב,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
והמשככ,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
והמשכל,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
והמשכמ,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
והמשלכ,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
והמשמה,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.6,1,0.4,1
