word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14
הלכשכמה,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
והכשכמה,0.555555555555556,0,0.4,1,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
והלכשבכ,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
והלכשכב,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
והלכשככ,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
והלכשכל,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
והלכשכמ,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
והלכשלכ,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
והלכשמה,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.4,1
והלכשמכ,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
והמשכמה,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
ולכשכמה,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
ושכשכמה,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
ושלכשבכ,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
ושלכשכב,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
ושלכשככ,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
ושלכשכל,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
ושלכשכמ,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
ושלכשלכ,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
ושלכשמה,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.4,1
ושלכשמכ,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
ושמשכמה,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
שלכשכמה,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
