word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16
והלכשכמה,0.555555555555556,0,0.4,1,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
ושלכשכמה,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
