word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22
אבולוציוניי,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.5,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111
אבולוציונית,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.5,0.25,0.545454545454545,0.111111111111111,0.8,0.25
אבולוציותיה,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25
אבולוציותיו,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0
אבולוציותיי,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111
אבולוציותיך,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.818181818181818,0.111111111111111
אבולוצייתכם,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.363636363636364,0.111111111111111,0.777777777777778,0
אבולוצייתכן,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.363636363636364,0.111111111111111,0.666666666666667,0
אבולוצייתנו,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.5,0.25,0.555555555555556,0
אבוריג'יניות,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.222222222222222,0,0.545454545454545,0.111111111111111,0.272727272727273,0.111111111111111,0.545454545454545,0.111111111111111,0.5,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25
אבוריג'יניים,0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.222222222222222,0,0.545454545454545,0.111111111111111,0.272727272727273,0.111111111111111,0.545454545454545,0.111111111111111,0.5,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.777777777777778,0
אבירויותיהם,0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25,0.777777777777778,0
אבירויותיהן,0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25,0.666666666666667,0
אבירויותייך,0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.818181818181818,0.111111111111111
אבירויותיכם,0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.363636363636364,0.111111111111111,0.777777777777778,0
אבירויותיכן,0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.363636363636364,0.111111111111111,0.666666666666667,0
אבירויותינו,0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.5,0.25,0.555555555555556,0
אבעבועותיהם,0.333333333333333,0,0.3,0.25,0.454545454545455,0.111111111111111,0.3,0.25,0.555555555555556,0,0.454545454545455,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25,0.777777777777778,0
אבעבועותיהן,0.333333333333333,0,0.3,0.25,0.454545454545455,0.111111111111111,0.3,0.25,0.555555555555556,0,0.454545454545455,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25,0.666666666666667,0
