word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8
"אאבד",0.333333333333333,0,0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111
"אאבל",0.333333333333333,0,0.333333333333333,0,0.3,0.25,0.727272727272727,0.111111111111111
"אאבן",0.333333333333333,0,0.333333333333333,0,0.3,0.25,0.666666666666667,0
"אאבק",0.333333333333333,0,0.333333333333333,0,0.3,0.25,0.111111111111111,0
"אאגד",0.333333333333333,0,0.333333333333333,0,0.272727272727273,0.111111111111111,0.181818181818182,0.111111111111111
"אאגם",0.333333333333333,0,0.333333333333333,0,0.272727272727273,0.111111111111111,0.777777777777778,0
"אאגף",0.333333333333333,0,0.333333333333333,0,0.272727272727273,0.111111111111111,0.909090909090909,0.111111111111111
"אאדה",0.333333333333333,0,0.333333333333333,0,0.181818181818182,0.111111111111111,0.4,0.25
"אאוץ",0.333333333333333,0,0.333333333333333,0,0.555555555555556,0,0.9,0.25
"אאזל",0.333333333333333,0,0.333333333333333,0,0.1,0.25,0.727272727272727,0.111111111111111
"אאזן",0.333333333333333,0,0.333333333333333,0,0.1,0.25,0.666666666666667,0
"אאחד",0.333333333333333,0,0.333333333333333,0,0.636363636363636,0.111111111111111,0.181818181818182,0.111111111111111
"אאחה",0.333333333333333,0,0.333333333333333,0,0.636363636363636,0.111111111111111,0.4,0.25
"אאחז",0.333333333333333,0,0.333333333333333,0,0.636363636363636,0.111111111111111,0.1,0.25
"אאחל",0.333333333333333,0,0.333333333333333,0,0.636363636363636,0.111111111111111,0.727272727272727,0.111111111111111
"אאחר",0.333333333333333,0,0.333333333333333,0,0.636363636363636,0.111111111111111,0.222222222222222,0
"אאיץ",0.333333333333333,0,0.333333333333333,0,0.545454545454545,0.111111111111111,0.9,0.25
"אאיר",0.333333333333333,0,0.333333333333333,0,0.545454545454545,0.111111111111111,0.222222222222222,0
"אאכל",0.333333333333333,0,0.333333333333333,0,0.363636363636364,0.111111111111111,0.727272727272727,0.111111111111111
"אאכן",0.333333333333333,0,0.333333333333333,0,0.363636363636364,0.111111111111111,0.666666666666667,0
"אאלף",0.333333333333333,0,0.333333333333333,0,0.727272727272727,0.111111111111111,0.909090909090909,0.111111111111111
"אאלץ",0.333333333333333,0,0.333333333333333,0,0.727272727272727,0.111111111111111,0.9,0.25
"אאמן",0.333333333333333,0,0.333333333333333,0,0.6,0.25,0.666666666666667,0
"אאמץ",0.333333333333333,0,0.333333333333333,0,0.6,0.25,0.9,0.25
"אאמת",0.333333333333333,0,0.333333333333333,0,0.6,0.25,0.8,0.25
"אאפס",0.333333333333333,0,0.333333333333333,0,0.888888888888889,0,0.2,0.25
"אאפר",0.333333333333333,0,0.333333333333333,0,0.888888888888889,0,0.222222222222222,0
"אארח",0.333333333333333,0,0.333333333333333,0,0.222222222222222,0,0.636363636363636,0.111111111111111
"אארס",0.333333333333333,0,0.333333333333333,0,0.222222222222222,0,0.2,0.25
"אאשם",0.333333333333333,0,0.333333333333333,0,0.0909090909090909,0.111111111111111,0.777777777777778,0
"אאשר",0.333333333333333,0,0.333333333333333,0,0.0909090909090909,0.111111111111111,0.222222222222222,0
"אאשש",0.333333333333333,0,0.333333333333333,0,0.0909090909090909,0.111111111111111,0.0909090909090909,0.111111111111111
"אאתר",0.333333333333333,0,0.333333333333333,0,0.8,0.25,0.222222222222222,0
"אבאס",0.333333333333333,0,0.3,0.25,0.333333333333333,0,0.2,0.25
"אבאר",0.333333333333333,0,0.3,0.25,0.333333333333333,0,0.222222222222222,0
"אבאש",0.333333333333333,0,0.3,0.25,0.333333333333333,0,0.0909090909090909,0.111111111111111
"אבגד",0.333333333333333,0,0.3,0.25,0.272727272727273,0.111111111111111,0.181818181818182,0.111111111111111
"אבגר",0.333333333333333,0,0.3,0.25,0.272727272727273,0.111111111111111,0.222222222222222,0
"אבדה",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.4,0.25
"אבדו",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.555555555555556,0
"אבדי",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.545454545454545,0.111111111111111
"אבדך",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.818181818181818,0.111111111111111
"אבדל",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.727272727272727,0.111111111111111
"אבדם",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.777777777777778,0
"אבדן",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.666666666666667,0
"אבדק",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.111111111111111,0
"אבדר",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.222222222222222,0
"אבדת",0.333333333333333,0,0.3,0.25,0.181818181818182,0.111111111111111,0.8,0.25
"אבהה",0.333333333333333,0,0.3,0.25,0.4,0.25,0.4,0.25
"אבהי",0.333333333333333,0,0.3,0.25,0.4,0.25,0.545454545454545,0.111111111111111
"אבהל",0.333333333333333,0,0.3,0.25,0.4,0.25,0.727272727272727,0.111111111111111
"אבהק",0.333333333333333,0,0.3,0.25,0.4,0.25,0.111111111111111,0
"אבוא",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.333333333333333,0
"אבוב",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.3,0.25
"אבוד",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.181818181818182,0.111111111111111
