word,mat_1,mat_2,mat_3,mat_4
"א""י",0.333333333333333,0,0.545454545454545,0.5
"אב",0.333333333333333,0,0.3,1
"אד",0.333333333333333,0,0.181818181818182,0.5
"או",0.333333333333333,0,0.555555555555556,0
"אז",0.333333333333333,0,0.1,1
"אח",0.333333333333333,0,0.636363636363636,0.5
"אט",0.333333333333333,0,0.444444444444444,0
"אי",0.333333333333333,0,0.545454545454545,0.5
"אך",0.333333333333333,0,0.818181818181818,0.5
"אל",0.333333333333333,0,0.727272727272727,0.5
"אם",0.333333333333333,0,0.777777777777778,0
"אן",0.333333333333333,0,0.666666666666667,0
"אס",0.333333333333333,0,0.2,1
"אף",0.333333333333333,0,0.909090909090909,0.5
"אץ",0.333333333333333,0,0.9,1
"אר",0.333333333333333,0,0.222222222222222,0
"אש",0.333333333333333,0,0.0909090909090909,0.5
"את",0.333333333333333,0,0.8,1
"ב""ה",0.3,1,0.4,1
"ב""ש",0.3,1,0.0909090909090909,0.5
"בא",0.3,1,0.333333333333333,0
"בד",0.3,1,0.181818181818182,0.5
"בה",0.3,1,0.4,1
"בו",0.3,1,0.555555555555556,0
"בז",0.3,1,0.1,1
"בי",0.3,1,0.545454545454545,0.5
"בך",0.3,1,0.818181818181818,0.5
"בל",0.3,1,0.727272727272727,0.5
"בם",0.3,1,0.777777777777778,0
"בן",0.3,1,0.666666666666667,0
"בס",0.3,1,0.2,1
"בר",0.3,1,0.222222222222222,0
"בת",0.3,1,0.8,1
"ג'ז",0.272727272727273,0.5,0.1,1
"ג'י",0.272727272727273,0.5,0.545454545454545,0.5
"ג'ל",0.272727272727273,0.5,0.727272727272727,0.5
"גא",0.272727272727273,0.5,0.333333333333333,0
"גב",0.272727272727273,0.5,0.3,1
"גג",0.272727272727273,0.5,0.272727272727273,0.5
"גד",0.272727272727273,0.5,0.181818181818182,0.5
"גו",0.272727272727273,0.5,0.555555555555556,0
"גז",0.272727272727273,0.5,0.1,1
"גח",0.272727272727273,0.5,0.636363636363636,0.5
"גט",0.272727272727273,0.5,0.444444444444444,0
"גל",0.272727272727273,0.5,0.727272727272727,0.5
"גם",0.272727272727273,0.5,0.777777777777778,0
"גן",0.272727272727273,0.5,0.666666666666667,0
"גס",0.272727272727273,0.5,0.2,1
"גע",0.272727272727273,0.5,0.454545454545455,0.5
"גף",0.272727272727273,0.5,0.909090909090909,0.5
"גץ",0.272727272727273,0.5,0.9,1
"גר",0.272727272727273,0.5,0.222222222222222,0
"גר'",0.272727272727273,0.5,0.222222222222222,0
"גש",0.272727272727273,0.5,0.0909090909090909,0.5
"גת",0.272727272727273,0.5,0.8,1
"ד""צ",0.181818181818182,0.5,0.7,1
"ד""ר",0.181818181818182,0.5,0.222222222222222,0
"ד""ש",0.181818181818182,0.5,0.0909090909090909,0.5
"דב",0.181818181818182,0.5,0.3,1
"דג",0.181818181818182,0.5,0.272727272727273,0.5
"דד",0.181818181818182,0.5,0.181818181818182,0.5
"דו",0.181818181818182,0.5,0.555555555555556,0
"די",0.181818181818182,0.5,0.545454545454545,0.5
"דל",0.181818181818182,0.5,0.727272727272727,0.5
"דם",0.181818181818182,0.5,0.777777777777778,0
"דן",0.181818181818182,0.5,0.666666666666667,0
"דע",0.181818181818182,0.5,0.454545454545455,0.5
"דף",0.181818181818182,0.5,0.909090909090909,0.5
"דק",0.181818181818182,0.5,0.111111111111111,0
"דר",0.181818181818182,0.5,0.222222222222222,0
"דש",0.181818181818182,0.5,0.0909090909090909,0.5
"דת",0.181818181818182,0.5,0.8,1
"ה""א",0.4,1,0.333333333333333,0
"הא",0.4,1,0.333333333333333,0
"הב",0.4,1,0.3,1
"הד",0.4,1,0.181818181818182,0.5
"הך",0.4,1,0.818181818181818,0.5
"הל",0.4,1,0.727272727272727,0.5
"הם",0.4,1,0.777777777777778,0
"הן",0.4,1,0.666666666666667,0
"הס",0.4,1,0.2,1
"הר",0.4,1,0.222222222222222,0
"וו",0.555555555555556,0,0.555555555555556,0
"וי",0.555555555555556,0,0.545454545454545,0.5
"ז""ל",0.1,1,0.727272727272727,0.5
"זב",0.1,1,0.3,1
"זג",0.1,1,0.272727272727273,0.5
"זד",0.1,1,0.181818181818182,0.5
"זה",0.1,1,0.4,1
"זו",0.1,1,0.555555555555556,0
"זז",0.1,1,0.1,1
"זי",0.1,1,0.545454545454545,0.5
"זך",0.1,1,0.818181818181818,0.5
"זן",0.1,1,0.666666666666667,0
"זע",0.1,1,0.454545454545455,0.5
"זר",0.1,1,0.222222222222222,0
"ח""כ",0.636363636363636,0.5,0.363636363636364,0.5
"ח""מ",0.636363636363636,0.5,0.6,1
"ח""ן",0.636363636363636,0.5,0.666666666666667,0
"חב",0.636363636363636,0.5,0.3,1
"חג",0.636363636363636,0.5,0.272727272727273,0.5
"חג'",0.636363636363636,0.5,0.272727272727273,0.5
"חד",0.636363636363636,0.5,0.181818181818182,0.5
"חט",0.636363636363636,0.5,0.444444444444444,0
"חי",0.636363636363636,0.5,0.545454545454545,0.5
"חך",0.636363636363636,0.5,0.818181818181818,0.5
"חל",0.636363636363636,0.5,0.727272727272727,0.5
"חם",0.636363636363636,0.5,0.777777777777778,0
"חן",0.636363636363636,0.5,0.666666666666667,0
"חס",0.636363636363636,0.5,0.2,1
"חף",0.636363636363636,0.5,0.909090909090909,0.5
"חץ",0.636363636363636,0.5,0.9,1
"חש",0.636363636363636,0.5,0.0909090909090909,0.5
"חת",0.636363636363636,0.5,0.8,1
"טח",0.444444444444444,0,0.636363636363636,0.5
