word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6
"אאט",0.333333333333333,0,0.333333333333333,0,0.444444444444444,0
"אב""ד",0.333333333333333,0,0.3,2,0.181818181818182,1
"אב""כ",0.333333333333333,0,0.3,2,0.363636363636364,1
"אבא",0.333333333333333,0,0.3,2,0.333333333333333,0
"אבד",0.333333333333333,0,0.3,2,0.181818181818182,1
"אבה",0.333333333333333,0,0.3,2,0.4,2
"אבו",0.333333333333333,0,0.3,2,0.555555555555556,0
"אבי",0.333333333333333,0,0.3,2,0.545454545454545,1
"אבל",0.333333333333333,0,0.3,2,0.727272727272727,1
"אבן",0.333333333333333,0,0.3,2,0.666666666666667,0
"אבץ",0.333333333333333,0,0.3,2,0.9,2
"אבק",0.333333333333333,0,0.3,2,0.111111111111111,0
"אבר",0.333333333333333,0,0.3,2,0.222222222222222,0
"אג""ח",0.333333333333333,0,0.272727272727273,1,0.636363636363636,1
"אג""ם",0.333333333333333,0,0.272727272727273,1,0.777777777777778,0
"אגב",0.333333333333333,0,0.272727272727273,1,0.3,2
"אגד",0.333333333333333,0,0.272727272727273,1,0.181818181818182,1
"אגה",0.333333333333333,0,0.272727272727273,1,0.4,2
"אגו",0.333333333333333,0,0.272727272727273,1,0.555555555555556,0
"אגח",0.333333333333333,0,0.272727272727273,1,0.636363636363636,1
"אגל",0.333333333333333,0,0.272727272727273,1,0.727272727272727,1
"אגם",0.333333333333333,0,0.272727272727273,1,0.777777777777778,0
"אגן",0.333333333333333,0,0.272727272727273,1,0.666666666666667,0
"אגס",0.333333333333333,0,0.272727272727273,1,0.2,2
"אגע",0.333333333333333,0,0.272727272727273,1,0.454545454545455,1
"אגף",0.333333333333333,0,0.272727272727273,1,0.909090909090909,1
"אגר",0.333333333333333,0,0.272727272727273,1,0.222222222222222,0
"אגש",0.333333333333333,0,0.272727272727273,1,0.0909090909090909,1
"אדה",0.333333333333333,0,0.181818181818182,1,0.4,2
"אדו",0.333333333333333,0,0.181818181818182,1,0.555555555555556,0
"אדי",0.333333333333333,0,0.181818181818182,1,0.545454545454545,1
"אדל",0.333333333333333,0,0.181818181818182,1,0.727272727272727,1
"אדם",0.333333333333333,0,0.181818181818182,1,0.777777777777778,0
"אדן",0.333333333333333,0,0.181818181818182,1,0.666666666666667,0
"אדע",0.333333333333333,0,0.181818181818182,1,0.454545454545455,1
"אדר",0.333333333333333,0,0.181818181818182,1,0.222222222222222,0
"אהב",0.333333333333333,0,0.4,2,0.3,2
"אהד",0.333333333333333,0,0.4,2,0.181818181818182,1
"אהל",0.333333333333333,0,0.4,2,0.727272727272727,1
"או""ם",0.333333333333333,0,0.555555555555556,0,0.777777777777778,0
"אוב",0.333333333333333,0,0.555555555555556,0,0.3,2
"אוג",0.333333333333333,0,0.555555555555556,0,0.272727272727273,1
"אוד",0.333333333333333,0,0.555555555555556,0,0.181818181818182,1
"אוח",0.333333333333333,0,0.555555555555556,0,0.636363636363636,1
"אוי",0.333333333333333,0,0.555555555555556,0,0.545454545454545,1
"אום",0.333333333333333,0,0.555555555555556,0,0.777777777777778,0
"און",0.333333333333333,0,0.555555555555556,0,0.666666666666667,0
"אוץ",0.333333333333333,0,0.555555555555556,0,0.9,2
"אור",0.333333333333333,0,0.555555555555556,0,0.222222222222222,0
"אות",0.333333333333333,0,0.555555555555556,0,0.8,2
"אזל",0.333333333333333,0,0.1,2,0.727272727272727,1
"אזם",0.333333333333333,0,0.1,2,0.777777777777778,0
"אזן",0.333333333333333,0,0.1,2,0.666666666666667,0
"אזק",0.333333333333333,0,0.1,2,0.111111111111111,0
"אזר",0.333333333333333,0,0.1,2,0.222222222222222,0
"אח""י",0.333333333333333,0,0.636363636363636,1,0.545454545454545,1
"אח""כ",0.333333333333333,0,0.636363636363636,1,0.363636363636364,1
"אח""ם",0.333333333333333,0,0.636363636363636,1,0.777777777777778,0
"אחד",0.333333333333333,0,0.636363636363636,1,0.181818181818182,1
"אחה",0.333333333333333,0,0.636363636363636,1,0.4,2
"אחו",0.333333333333333,0,0.636363636363636,1,0.555555555555556,0
"אחז",0.333333333333333,0,0.636363636363636,1,0.1,2
"אחי",0.333333333333333,0,0.636363636363636,1,0.545454545454545,1
"אחל",0.333333333333333,0,0.636363636363636,1,0.727272727272727,1
"אחר",0.333333333333333,0,0.636363636363636,1,0.222222222222222,0
"אחת",0.333333333333333,0,0.636363636363636,1,0.8,2
"אטא",0.333333333333333,0,0.444444444444444,0,0.333333333333333,0
"אטב",0.333333333333333,0,0.444444444444444,0,0.3,2
"אטד",0.333333333333333,0,0.444444444444444,0,0.181818181818182,1
"אטה",0.333333333333333,0,0.444444444444444,0,0.4,2
"אטו",0.333333333333333,0,0.444444444444444,0,0.555555555555556,0
"אטי",0.333333333333333,0,0.444444444444444,0,0.545454545454545,1
"אטך",0.333333333333333,0,0.444444444444444,0,0.818181818181818,1
"אטם",0.333333333333333,0,0.444444444444444,0,0.777777777777778,0
"אטן",0.333333333333333,0,0.444444444444444,0,0.666666666666667,0
"אטע",0.333333333333333,0,0.444444444444444,0,0.454545454545455,1
"איד",0.333333333333333,0,0.545454545454545,1,0.181818181818182,1
"איה",0.333333333333333,0,0.545454545454545,1,0.4,2
"איו",0.333333333333333,0,0.545454545454545,1,0.555555555555556,0
"איי",0.333333333333333,0,0.545454545454545,1,0.545454545454545,1
"איך",0.333333333333333,0,0.545454545454545,1,0.818181818181818,1
"איל",0.333333333333333,0,0.545454545454545,1,0.727272727272727,1
"אין",0.333333333333333,0,0.545454545454545,1,0.666666666666667,0
