word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28
אדמיניסטרטורים,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.444444444444444,0,0.555555555555556,0,0.222222222222222,0,0.545454545454545,0.5,0.777777777777778,0
אדמיניסטרטורית,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.444444444444444,0,0.555555555555556,0,0.222222222222222,0,0.545454545454545,0.5,0.8,1
אדמיניסטרטיביי,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.444444444444444,0,0.545454545454545,0.5,0.3,1,0.545454545454545,0.5,0.545454545454545,0.5
אדמיניסטרטיבית,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.444444444444444,0,0.545454545454545,0.5,0.3,1,0.545454545454545,0.5,0.8,1
אדמיניסטרצייתה,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.4,1
אדמיניסטרצייתו,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.555555555555556,0
אדמיניסטרצייתי,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.545454545454545,0.5
אדמיניסטרצייתך,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.818181818181818,0.5
אדמיניסטרצייתם,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.777777777777778,0
אדמיניסטרצייתן,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.666666666666667,0
אובייקטיביותכם,0.333333333333333,0,0.555555555555556,0,0.3,1,0.545454545454545,0.5,0.545454545454545,0.5,0.111111111111111,0,0.444444444444444,0,0.545454545454545,0.5,0.3,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.363636363636364,0.5,0.777777777777778,0
אובייקטיביותכן,0.333333333333333,0,0.555555555555556,0,0.3,1,0.545454545454545,0.5,0.545454545454545,0.5,0.111111111111111,0,0.444444444444444,0,0.545454545454545,0.5,0.3,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.363636363636364,0.5,0.666666666666667,0
