word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20
"אבולוציוני",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.5,0.25,0.545454545454545,0.111111111111111
"אבולוצייתה",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.4,0.25
"אבולוצייתו",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.555555555555556,0
"אבולוצייתי",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.545454545454545,0.111111111111111
"אבולוצייתך",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.818181818181818,0.111111111111111
"אבולוצייתם",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.777777777777778,0
"אבולוצייתן",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.727272727272727,0.111111111111111,0.555555555555556,0,0.7,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.8,0.25,0.666666666666667,0
"אבוקדותיהם",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.111111111111111,0,0.181818181818182,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25,0.777777777777778,0
"אבוקדותיהן",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.111111111111111,0,0.181818181818182,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25,0.666666666666667,0
"אבוקדותייך",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.111111111111111,0,0.181818181818182,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.818181818181818,0.111111111111111
"אבוקדותיכם",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.111111111111111,0,0.181818181818182,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.363636363636364,0.111111111111111,0.777777777777778,0
"אבוקדותיכן",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.111111111111111,0,0.181818181818182,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.363636363636364,0.111111111111111,0.666666666666667,0
"אבוקדותינו",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.111111111111111,0,0.181818181818182,0.111111111111111,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.5,0.25,0.555555555555556,0
"אבוריג'יניי",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.222222222222222,0,0.545454545454545,0.111111111111111,0.272727272727273,0.111111111111111,0.545454545454545,0.111111111111111,0.5,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111
"אבוריג'ינים",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.222222222222222,0,0.545454545454545,0.111111111111111,0.272727272727273,0.111111111111111,0.545454545454545,0.111111111111111,0.5,0.25,0.545454545454545,0.111111111111111,0.777777777777778,0
"אבוריג'ינית",0.333333333333333,0,0.3,0.25,0.555555555555556,0,0.222222222222222,0,0.545454545454545,0.111111111111111,0.272727272727273,0.111111111111111,0.545454545454545,0.111111111111111,0.5,0.25,0.545454545454545,0.111111111111111,0.8,0.25
"אביונותיהם",0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.5,0.25,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25,0.777777777777778,0
"אביונותיהן",0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.5,0.25,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.4,0.25,0.666666666666667,0
"אביונותייך",0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.5,0.25,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.545454545454545,0.111111111111111,0.818181818181818,0.111111111111111
"אביונותיכם",0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.5,0.25,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.363636363636364,0.111111111111111,0.777777777777778,0
"אביונותיכן",0.333333333333333,0,0.3,0.25,0.545454545454545,0.111111111111111,0.555555555555556,0,0.5,0.25,0.555555555555556,0,0.8,0.25,0.545454545454545,0.111111111111111,0.363636363636364,0.111111111111111,0.666666666666667,0
