word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28
acclimatizable,0.1,0.5,0.375,1,0.375,1,0.9,0.5,0.727272727272727,0,0.875,1,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.125,1,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0
accommodations,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.875,1,0.875,1,0.818181818181818,0,0.3,0.5,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.818181818181818,0,0.75,1,0.2,0.5
accompaniments,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.875,1,0.909090909090909,0,0.1,0.5,0.75,1,0.727272727272727,0,0.875,1,0.272727272727273,0,0.75,1,0.454545454545455,0,0.2,0.5
accompliceship,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.875,1,0.909090909090909,0,0.9,0.5,0.727272727272727,0,0.375,1,0.272727272727273,0,0.2,0.5,0.6,0.5,0.727272727272727,0,0.909090909090909,0
accomplishable,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.875,1,0.909090909090909,0,0.9,0.5,0.727272727272727,0,0.2,0.5,0.6,0.5,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0
accomplishment,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.875,1,0.909090909090909,0,0.9,0.5,0.727272727272727,0,0.2,0.5,0.6,0.5,0.875,1,0.272727272727273,0,0.75,1,0.454545454545455,0
accountability,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.636363636363636,0,0.75,1,0.454545454545455,0,0.1,0.5,0.625,1,0.727272727272727,0,0.9,0.5,0.727272727272727,0,0.454545454545455,0,0.545454545454545,0
accountantship,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.636363636363636,0,0.75,1,0.454545454545455,0,0.1,0.5,0.75,1,0.454545454545455,0,0.2,0.5,0.6,0.5,0.727272727272727,0,0.909090909090909,0
accreditations,0.1,0.5,0.375,1,0.375,1,0.363636363636364,0,0.272727272727273,0,0.3,0.5,0.727272727272727,0,0.454545454545455,0,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.818181818181818,0,0.75,1,0.2,0.5
accrementitial,0.1,0.5,0.375,1,0.375,1,0.363636363636364,0,0.272727272727273,0,0.875,1,0.272727272727273,0,0.75,1,0.454545454545455,0,0.727272727272727,0,0.454545454545455,0,0.727272727272727,0,0.1,0.5,0.9,0.5
accrementition,0.1,0.5,0.375,1,0.375,1,0.363636363636364,0,0.272727272727273,0,0.875,1,0.272727272727273,0,0.75,1,0.454545454545455,0,0.727272727272727,0,0.454545454545455,0,0.727272727272727,0,0.818181818181818,0,0.75,1
accumulatively,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.875,1,0.636363636363636,0,0.9,0.5,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.5,1,0.272727272727273,0,0.9,0.5,0.545454545454545,0
accusativeness,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.2,0.5,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.5,1,0.272727272727273,0,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
accusatorially,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.2,0.5,0.1,0.5,0.454545454545455,0,0.818181818181818,0,0.363636363636364,0,0.727272727272727,0,0.1,0.5,0.9,0.5,0.9,0.5,0.545454545454545,0
accustomedness,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.2,0.5,0.454545454545455,0,0.818181818181818,0,0.875,1,0.272727272727273,0,0.3,0.5,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
acenaphthylene,0.1,0.5,0.375,1,0.272727272727273,0,0.75,1,0.1,0.5,0.909090909090909,0,0.6,0.5,0.454545454545455,0,0.6,0.5,0.545454545454545,0,0.9,0.5,0.272727272727273,0,0.75,1,0.272727272727273,0
acetaldehydase,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.1,0.5,0.9,0.5,0.3,0.5,0.272727272727273,0,0.6,0.5,0.545454545454545,0,0.3,0.5,0.1,0.5,0.2,0.5,0.272727272727273,0
acetylbenzoate,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.545454545454545,0,0.9,0.5,0.625,1,0.272727272727273,0,0.75,1,0.125,1,0.818181818181818,0,0.1,0.5,0.454545454545455,0,0.272727272727273,0
acetylcholinic,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.545454545454545,0,0.9,0.5,0.375,1,0.6,0.5,0.818181818181818,0,0.9,0.5,0.727272727272727,0,0.75,1,0.727272727272727,0,0.375,1
acetylfluoride,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.545454545454545,0,0.9,0.5,0.4,0.5,0.9,0.5,0.636363636363636,0,0.818181818181818,0,0.363636363636364,0,0.727272727272727,0,0.3,0.5,0.272727272727273,0
acetylperoxide,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.545454545454545,0,0.9,0.5,0.909090909090909,0,0.272727272727273,0,0.363636363636364,0,0.818181818181818,0,0.25,1,0.727272727272727,0,0.3,0.5,0.272727272727273,0
acetyltropeine,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.545454545454545,0,0.9,0.5,0.454545454545455,0,0.363636363636364,0,0.818181818181818,0,0.909090909090909,0,0.272727272727273,0,0.727272727272727,0,0.75,1,0.272727272727273,0
acetocinnamene,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.818181818181818,0,0.375,1,0.727272727272727,0,0.75,1,0.75,1,0.1,0.5,0.875,1,0.272727272727273,0,0.75,1,0.272727272727273,0
acetonaphthone,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.818181818181818,0,0.75,1,0.1,0.5,0.909090909090909,0,0.6,0.5,0.454545454545455,0,0.6,0.5,0.818181818181818,0,0.75,1,0.272727272727273,0
acetonurometer,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.818181818181818,0,0.75,1,0.636363636363636,0,0.363636363636364,0,0.818181818181818,0,0.875,1,0.272727272727273,0,0.454545454545455,0,0.272727272727273,0,0.363636363636364,0
acetophenetide,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.272727272727273,0,0.75,1,0.272727272727273,0,0.454545454545455,0,0.727272727272727,0,0.3,0.5,0.272727272727273,0
acetosalicylic,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.818181818181818,0,0.2,0.5,0.1,0.5,0.9,0.5,0.727272727272727,0,0.375,1,0.545454545454545,0,0.9,0.5,0.727272727272727,0,0.375,1
acetotoluidine,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.818181818181818,0,0.454545454545455,0,0.818181818181818,0,0.9,0.5,0.636363636363636,0,0.727272727272727,0,0.3,0.5,0.727272727272727,0,0.75,1,0.272727272727273,0
acetoveratrone,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.818181818181818,0,0.5,1,0.272727272727273,0,0.363636363636364,0,0.1,0.5,0.454545454545455,0,0.363636363636364,0,0.818181818181818,0,0.75,1,0.272727272727273,0
acetphenetidin,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.909090909090909,0,0.6,0.5,0.272727272727273,0,0.75,1,0.272727272727273,0,0.454545454545455,0,0.727272727272727,0,0.3,0.5,0.727272727272727,0,0.75,1
achondroplasia,0.1,0.5,0.375,1,0.6,0.5,0.818181818181818,0,0.75,1,0.3,0.5,0.363636363636364,0,0.818181818181818,0,0.909090909090909,0,0.9,0.5,0.1,0.5,0.2,0.5,0.727272727272727,0,0.1,0.5
achromatiaceae,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.1,0.5,0.375,1,0.272727272727273,0,0.1,0.5,0.272727272727273,0
achromatically,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.375,1,0.1,0.5,0.9,0.5,0.9,0.5,0.545454545454545,0
achromatizable,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.125,1,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0
achromatolysis,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5,0.454545454545455,0,0.818181818181818,0,0.9,0.5,0.545454545454545,0,0.2,0.5,0.727272727272727,0,0.2,0.5
achromatophile,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5,0.454545454545455,0,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.727272727272727,0,0.9,0.5,0.272727272727273,0
achromophilous,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.727272727272727,0,0.9,0.5,0.818181818181818,0,0.636363636363636,0,0.2,0.5
achromotrichia,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.818181818181818,0,0.454545454545455,0,0.363636363636364,0,0.727272727272727,0,0.375,1,0.6,0.5,0.727272727272727,0,0.1,0.5
