word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30,mat_31,mat_32,mat_33,mat_34
schizogenetically,0.2,0.5,0.375,1,0.6,0.5,0.727272727272727,0,0.125,1,0.818181818181818,0,0.5,0.5,0.272727272727273,0,0.75,1,0.272727272727273,0,0.454545454545455,0,0.727272727272727,0,0.375,1,0.1,0.5,0.9,0.5,0.9,0.5,0.545454545454545,0
schizogregarinida,0.2,0.5,0.375,1,0.6,0.5,0.727272727272727,0,0.125,1,0.818181818181818,0,0.5,0.5,0.363636363636364,0,0.272727272727273,0,0.5,0.5,0.1,0.5,0.363636363636364,0,0.727272727272727,0,0.75,1,0.727272727272727,0,0.3,0.5,0.1,0.5
schizophrenically,0.2,0.5,0.375,1,0.6,0.5,0.727272727272727,0,0.125,1,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.363636363636364,0,0.272727272727273,0,0.75,1,0.727272727272727,0,0.375,1,0.1,0.5,0.9,0.5,0.9,0.5,0.545454545454545,0
schoolgirlishness,0.2,0.5,0.375,1,0.6,0.5,0.818181818181818,0,0.818181818181818,0,0.9,0.5,0.5,0.5,0.727272727272727,0,0.363636363636364,0,0.9,0.5,0.727272727272727,0,0.2,0.5,0.6,0.5,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
schoolmasterishly,0.2,0.5,0.375,1,0.6,0.5,0.818181818181818,0,0.818181818181818,0,0.9,0.5,0.875,1,0.1,0.5,0.2,0.5,0.454545454545455,0,0.272727272727273,0,0.363636363636364,0,0.727272727272727,0,0.2,0.5,0.6,0.5,0.9,0.5,0.545454545454545,0
scientificopoetic,0.2,0.5,0.375,1,0.727272727272727,0,0.272727272727273,0,0.75,1,0.454545454545455,0,0.727272727272727,0,0.4,0.5,0.727272727272727,0,0.375,1,0.818181818181818,0,0.909090909090909,0,0.818181818181818,0,0.272727272727273,0,0.454545454545455,0,0.727272727272727,0,0.375,1
sclerochoroiditis,0.2,0.5,0.375,1,0.9,0.5,0.272727272727273,0,0.363636363636364,0,0.818181818181818,0,0.375,1,0.6,0.5,0.818181818181818,0,0.363636363636364,0,0.818181818181818,0,0.727272727272727,0,0.3,0.5,0.727272727272727,0,0.454545454545455,0,0.727272727272727,0,0.2,0.5
scolopendrellidae,0.2,0.5,0.375,1,0.818181818181818,0,0.9,0.5,0.818181818181818,0,0.909090909090909,0,0.272727272727273,0,0.75,1,0.3,0.5,0.363636363636364,0,0.272727272727273,0,0.9,0.5,0.9,0.5,0.727272727272727,0,0.3,0.5,0.1,0.5,0.272727272727273,0
scrophulariaceous,0.2,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.636363636363636,0,0.9,0.5,0.1,0.5,0.363636363636364,0,0.727272727272727,0,0.1,0.5,0.375,1,0.272727272727273,0,0.818181818181818,0,0.636363636363636,0,0.2,0.5
sculpturesqueness,0.2,0.5,0.375,1,0.636363636363636,0,0.9,0.5,0.909090909090909,0,0.454545454545455,0,0.636363636363636,0,0.363636363636364,0,0.272727272727273,0,0.2,0.5,0.0909090909090909,0,0.636363636363636,0,0.272727272727273,0,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
secondsightedness,0.2,0.5,0.272727272727273,0,0.375,1,0.818181818181818,0,0.75,1,0.3,0.5,0.2,0.5,0.727272727272727,0,0.5,0.5,0.6,0.5,0.454545454545455,0,0.272727272727273,0,0.3,0.5,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
sectioplanography,0.2,0.5,0.272727272727273,0,0.375,1,0.454545454545455,0,0.727272727272727,0,0.818181818181818,0,0.909090909090909,0,0.9,0.5,0.1,0.5,0.75,1,0.818181818181818,0,0.5,0.5,0.363636363636364,0,0.1,0.5,0.909090909090909,0,0.6,0.5,0.545454545454545,0
seismochronograph,0.2,0.5,0.272727272727273,0,0.727272727272727,0,0.2,0.5,0.875,1,0.818181818181818,0,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.75,1,0.818181818181818,0,0.5,0.5,0.363636363636364,0,0.1,0.5,0.909090909090909,0,0.6,0.5
selenographically,0.2,0.5,0.272727272727273,0,0.9,0.5,0.272727272727273,0,0.75,1,0.818181818181818,0,0.5,0.5,0.363636363636364,0,0.1,0.5,0.909090909090909,0,0.6,0.5,0.727272727272727,0,0.375,1,0.1,0.5,0.9,0.5,0.9,0.5,0.545454545454545,0
selfhypnotization,0.2,0.5,0.272727272727273,0,0.9,0.5,0.4,0.5,0.6,0.5,0.545454545454545,0,0.909090909090909,0,0.75,1,0.818181818181818,0,0.454545454545455,0,0.727272727272727,0,0.125,1,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.818181818181818,0,0.75,1
semiallegorically,0.2,0.5,0.272727272727273,0,0.875,1,0.727272727272727,0,0.1,0.5,0.9,0.5,0.9,0.5,0.272727272727273,0,0.5,0.5,0.818181818181818,0,0.363636363636364,0,0.727272727272727,0,0.375,1,0.1,0.5,0.9,0.5,0.9,0.5,0.545454545454545,0
semianthropologic,0.2,0.5,0.272727272727273,0,0.875,1,0.727272727272727,0,0.1,0.5,0.75,1,0.454545454545455,0,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.909090909090909,0,0.818181818181818,0,0.9,0.5,0.818181818181818,0,0.5,0.5,0.727272727272727,0,0.375,1
semiarchitectural,0.2,0.5,0.272727272727273,0,0.875,1,0.727272727272727,0,0.1,0.5,0.363636363636364,0,0.375,1,0.6,0.5,0.727272727272727,0,0.454545454545455,0,0.272727272727273,0,0.375,1,0.454545454545455,0,0.636363636363636,0,0.363636363636364,0,0.1,0.5,0.9,0.5
