word,mat_1,mat_2,mat_3,mat_4
hy,0.6,0.5,0.545454545454545,0
hl,0.6,0.5,0.9,0.5
hm,0.6,0.5,0.875,1
ho,0.6,0.5,0.818181818181818,0
hp,0.6,0.5,0.909090909090909,0
hq,0.6,0.5,0.0909090909090909,0
hr,0.6,0.5,0.363636363636364,0
hs,0.6,0.5,0.2,0.5
ht,0.6,0.5,0.454545454545455,0
hu,0.6,0.5,0.636363636363636,0
hv,0.6,0.5,0.5,1
hw,0.6,0.5,0.181818181818182,0
ia,0.727272727272727,0,0.1,0.5
ya,0.545454545454545,0,0.1,0.5
ib,0.727272727272727,0,0.625,1
ic,0.727272727272727,0,0.375,1
id,0.727272727272727,0,0.3,0.5
yd,0.545454545454545,0,0.3,0.5
ie,0.727272727272727,0,0.272727272727273,0
ye,0.545454545454545,0,0.272727272727273,0
if,0.727272727272727,0,0.4,0.5
ii,0.727272727272727,0,0.727272727272727,0
yi,0.545454545454545,0,0.727272727272727,0
ik,0.727272727272727,0,0.8,0.5
il,0.727272727272727,0,0.9,0.5
im,0.727272727272727,0,0.875,1
ym,0.545454545454545,0,0.875,1
in,0.727272727272727,0,0.75,1
yn,0.545454545454545,0,0.75,1
io,0.727272727272727,0,0.818181818181818,0
yo,0.545454545454545,0,0.818181818181818,0
iq,0.727272727272727,0,0.0909090909090909,0
ir,0.727272727272727,0,0.363636363636364,0
yr,0.545454545454545,0,0.363636363636364,0
is,0.727272727272727,0,0.2,0.5
ys,0.545454545454545,0,0.2,0.5
it,0.727272727272727,0,0.454545454545455,0
yt,0.545454545454545,0,0.454545454545455,0
iv,0.727272727272727,0,0.5,1
iw,0.727272727272727,0,0.181818181818182,0
ix,0.727272727272727,0,0.25,1
ja,0.7,0.5,0.1,0.5
jg,0.7,0.5,0.5,0.5
ji,0.7,0.5,0.727272727272727,0
jo,0.7,0.5,0.818181818181818,0
jr,0.7,0.5,0.363636363636364,0
js,0.7,0.5,0.2,0.5
jt,0.7,0.5,0.454545454545455,0
ju,0.7,0.5,0.636363636363636,0
ka,0.8,0.5,0.1,0.5
kb,0.8,0.5,0.625,1
kc,0.8,0.5,0.375,1
kg,0.8,0.5,0.5,0.5
ki,0.8,0.5,0.727272727272727,0
ky,0.8,0.5,0.545454545454545,0
kl,0.8,0.5,0.9,0.5
km,0.8,0.5,0.875,1
kn,0.8,0.5,0.75,1
ko,0.8,0.5,0.818181818181818,0
kr,0.8,0.5,0.363636363636364,0
kt,0.8,0.5,0.454545454545455,0
kv,0.8,0.5,0.5,1
kw,0.8,0.5,0.181818181818182,0
la,0.9,0.5,0.1,0.5
lb,0.9,0.5,0.625,1
lc,0.9,0.5,0.375,1
ld,0.9,0.5,0.3,0.5
le,0.9,0.5,0.272727272727273,0
lf,0.9,0.5,0.4,0.5
lg,0.9,0.5,0.5,0.5
lh,0.9,0.5,0.6,0.5
li,0.9,0.5,0.727272727272727,0
ly,0.9,0.5,0.545454545454545,0
ll,0.9,0.5,0.9,0.5
lm,0.9,0.5,0.875,1
ln,0.9,0.5,0.75,1
lo,0.9,0.5,0.818181818181818,0
lp,0.9,0.5,0.909090909090909,0
lr,0.9,0.5,0.363636363636364,0
ls,0.9,0.5,0.2,0.5
lt,0.9,0.5,0.454545454545455,0
lu,0.9,0.5,0.636363636363636,0
lv,0.9,0.5,0.5,1
lx,0.9,0.5,0.25,1
ma,0.875,1,0.1,0.5
mb,0.875,1,0.625,1
mc,0.875,1,0.375,1
md,0.875,1,0.3,0.5
me,0.875,1,0.272727272727273,0
mf,0.875,1,0.4,0.5
mg,0.875,1,0.5,0.5
mh,0.875,1,0.6,0.5
mi,0.875,1,0.727272727272727,0
my,0.875,1,0.545454545454545,0
mk,0.875,1,0.8,0.5
ml,0.875,1,0.9,0.5
mm,0.875,1,0.875,1
mn,0.875,1,0.75,1
mo,0.875,1,0.818181818181818,0
mp,0.875,1,0.909090909090909,0
mr,0.875,1,0.363636363636364,0
ms,0.875,1,0.2,0.5
mt,0.875,1,0.454545454545455,0
mu,0.875,1,0.636363636363636,0
mv,0.875,1,0.5,1
mw,0.875,1,0.181818181818182,0
na,0.75,1,0.1,0.5
nb,0.75,1,0.625,1
nd,0.75,1,0.3,0.5
ne,0.75,1,0.272727272727273,0
ng,0.75,1,0.5,0.5
ni,0.75,1,0.727272727272727,0
ny,0.75,1,0.545454545454545,0
nj,0.75,1,0.7,0.5
nl,0.75,1,0.9,0.5
nm,0.75,1,0.875,1
no,0.75,1,0.818181818181818,0
np,0.75,1,0.909090909090909,0
nr,0.75,1,0.363636363636364,0
ns,0.75,1,0.2,0.5
nt,0.75,1,0.454545454545455,0
nu,0.75,1,0.636363636363636,0
nv,0.75,1,0.5,1
ob,0.818181818181818,0,0.625,1
oc,0.818181818181818,0,0.375,1
od,0.818181818181818,0,0.3,0.5
oe,0.818181818181818,0,0.272727272727273,0
of,0.818181818181818,0,0.4,0.5
og,0.818181818181818,0,0.5,0.5
oh,0.818181818181818,0,0.6,0.5
oy,0.818181818181818,0,0.545454545454545,0
ok,0.818181818181818,0,0.8,0.5
ol,0.818181818181818,0,0.9,0.5
om,0.818181818181818,0,0.875,1
on,0.818181818181818,0,0.75,1
op,0.818181818181818,0,0.909090909090909,0
or,0.818181818181818,0,0.363636363636364,0
os,0.818181818181818,0,0.2,0.5
ot,0.818181818181818,0,0.454545454545455,0
ow,0.818181818181818,0,0.181818181818182,0
ox,0.818181818181818,0,0.25,1
oz,0.818181818181818,0,0.125,1
pa,0.909090909090909,0,0.1,0.5
pc,0.909090909090909,0,0.375,1
pd,0.909090909090909,0,0.3,0.5
pe,0.909090909090909,0,0.272727272727273,0
pf,0.909090909090909,0,0.4,0.5
pg,0.909090909090909,0,0.5,0.5
ph,0.909090909090909,0,0.6,0.5
pi,0.909090909090909,0,0.727272727272727,0
pk,0.909090909090909,0,0.8,0.5
pl,0.909090909090909,0,0.9,0.5
pm,0.909090909090909,0,0.875,1
po,0.909090909090909,0,0.818181818181818,0
pp,0.909090909090909,0,0.909090909090909,0
pq,0.909090909090909,0,0.0909090909090909,0
pr,0.909090909090909,0,0.363636363636364,0
ps,0.909090909090909,0,0.2,0.5
pt,0.909090909090909,0,0.454545454545455,0
pu,0.909090909090909,0,0.636363636363636,0
qe,0.0909090909090909,0,0.272727272727273,0
qh,0.0909090909090909,0,0.6,0.5
qy,0.0909090909090909,0,0.545454545454545,0
ql,0.0909090909090909,0,0.9,0.5
qm,0.0909090909090909,0,0.875,1
qn,0.0909090909090909,0,0.75,1
qp,0.0909090909090909,0,0.909090909090909,0
qr,0.0909090909090909,0,0.363636363636364,0
qs,0.0909090909090909,0,0.2,0.5
qt,0.0909090909090909,0,0.454545454545455,0
qu,0.0909090909090909,0,0.636363636363636,0
qv,0.0909090909090909,0,0.5,1
ra,0.363636363636364,0,0.1,0.5
rc,0.363636363636364,0,0.375,1
rd,0.363636363636364,0,0.3,0.5
re,0.363636363636364,0,0.272727272727273,0
rf,0.363636363636364,0,0.4,0.5
rg,0.363636363636364,0,0.5,0.5
rh,0.363636363636364,0,0.6,0.5
rm,0.363636363636364,0,0.875,1
rn,0.363636363636364,0,0.75,1
ro,0.363636363636364,0,0.818181818181818,0
rs,0.363636363636364,0,0.2,0.5
rt,0.363636363636364,0,0.454545454545455,0
sa,0.2,0.5,0.1,0.5
sb,0.2,0.5,0.625,1
sc,0.2,0.5,0.375,1
sd,0.2,0.5,0.3,0.5
se,0.2,0.5,0.272727272727273,0
sf,0.2,0.5,0.4,0.5
sg,0.2,0.5,0.5,0.5
sh,0.2,0.5,0.6,0.5
si,0.2,0.5,0.727272727272727,0
