word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30
achromatophilic,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5,0.454545454545455,0,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.727272727272727,0,0.9,0.5,0.727272727272727,0,0.375,1
acidimetrically,0.1,0.5,0.375,1,0.727272727272727,0,0.3,0.5,0.727272727272727,0,0.875,1,0.272727272727273,0,0.454545454545455,0,0.363636363636364,0,0.727272727272727,0,0.375,1,0.1,0.5,0.9,0.5,0.9,0.5,0.545454545454545,0
acknowledgeable,0.1,0.5,0.375,1,0.8,0.5,0.75,1,0.818181818181818,0,0.181818181818182,0,0.9,0.5,0.272727272727273,0,0.3,0.5,0.5,0.5,0.272727272727273,0,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0
acknowledgement,0.1,0.5,0.375,1,0.8,0.5,0.75,1,0.818181818181818,0,0.181818181818182,0,0.9,0.5,0.272727272727273,0,0.3,0.5,0.5,0.5,0.272727272727273,0,0.875,1,0.272727272727273,0,0.75,1,0.454545454545455,0
acknowledgments,0.1,0.5,0.375,1,0.8,0.5,0.75,1,0.818181818181818,0,0.181818181818182,0,0.9,0.5,0.272727272727273,0,0.3,0.5,0.5,0.5,0.875,1,0.272727272727273,0,0.75,1,0.454545454545455,0,0.2,0.5
acousticophobia,0.1,0.5,0.375,1,0.818181818181818,0,0.636363636363636,0,0.2,0.5,0.454545454545455,0,0.727272727272727,0,0.375,1,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.818181818181818,0,0.625,1,0.727272727272727,0,0.1,0.5
acoustoelectric,0.1,0.5,0.375,1,0.818181818181818,0,0.636363636363636,0,0.2,0.5,0.454545454545455,0,0.818181818181818,0,0.272727272727273,0,0.9,0.5,0.272727272727273,0,0.375,1,0.454545454545455,0,0.363636363636364,0,0.727272727272727,0,0.375,1
acquisitiveness,0.1,0.5,0.375,1,0.0909090909090909,0,0.636363636363636,0,0.727272727272727,0,0.2,0.5,0.727272727272727,0,0.454545454545455,0,0.727272727272727,0,0.5,1,0.272727272727273,0,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
acrimoniousness,0.1,0.5,0.375,1,0.363636363636364,0,0.727272727272727,0,0.875,1,0.818181818181818,0,0.75,1,0.727272727272727,0,0.818181818181818,0,0.636363636363636,0,0.2,0.5,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
acrobatholithic,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.625,1,0.1,0.5,0.454545454545455,0,0.6,0.5,0.818181818181818,0,0.9,0.5,0.727272727272727,0,0.454545454545455,0,0.6,0.5,0.727272727272727,0,0.375,1
acrocontracture,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.375,1,0.818181818181818,0,0.75,1,0.454545454545455,0,0.363636363636364,0,0.1,0.5,0.375,1,0.454545454545455,0,0.636363636363636,0,0.363636363636364,0,0.272727272727273,0
acromiocoracoid,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.875,1,0.727272727272727,0,0.818181818181818,0,0.375,1,0.818181818181818,0,0.363636363636364,0,0.1,0.5,0.375,1,0.818181818181818,0,0.727272727272727,0,0.3,0.5
acromioscapular,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.875,1,0.727272727272727,0,0.818181818181818,0,0.2,0.5,0.375,1,0.1,0.5,0.909090909090909,0,0.636363636363636,0,0.9,0.5,0.1,0.5,0.363636363636364,0
acromiothoracic,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.875,1,0.727272727272727,0,0.818181818181818,0,0.454545454545455,0,0.6,0.5,0.818181818181818,0,0.363636363636364,0,0.1,0.5,0.375,1,0.727272727272727,0,0.375,1
acroparesthesia,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.909090909090909,0,0.1,0.5,0.363636363636364,0,0.272727272727273,0,0.2,0.5,0.454545454545455,0,0.6,0.5,0.272727272727273,0,0.2,0.5,0.727272727272727,0,0.1,0.5
acroscleroderma,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.2,0.5,0.375,1,0.9,0.5,0.272727272727273,0,0.363636363636364,0,0.818181818181818,0,0.3,0.5,0.272727272727273,0,0.363636363636364,0,0.875,1,0.1,0.5
actinautography,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.75,1,0.1,0.5,0.636363636363636,0,0.454545454545455,0,0.818181818181818,0,0.5,0.5,0.363636363636364,0,0.1,0.5,0.909090909090909,0,0.6,0.5,0.545454545454545,0
actinochemistry,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.75,1,0.818181818181818,0,0.375,1,0.6,0.5,0.272727272727273,0,0.875,1,0.727272727272727,0,0.2,0.5,0.454545454545455,0,0.363636363636364,0,0.545454545454545,0
actinogonidiate,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.75,1,0.818181818181818,0,0.5,0.5,0.818181818181818,0,0.75,1,0.727272727272727,0,0.3,0.5,0.727272727272727,0,0.1,0.5,0.454545454545455,0,0.272727272727273,0
actinomycetales,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.75,1,0.818181818181818,0,0.875,1,0.545454545454545,0,0.375,1,0.272727272727273,0,0.454545454545455,0,0.1,0.5,0.9,0.5,0.272727272727273,0,0.2,0.5
actinomyxidiida,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.75,1,0.818181818181818,0,0.875,1,0.545454545454545,0,0.25,1,0.727272727272727,0,0.3,0.5,0.727272727272727,0,0.727272727272727,0,0.3,0.5,0.1,0.5
actinopterygian,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.75,1,0.818181818181818,0,0.909090909090909,0,0.454545454545455,0,0.272727272727273,0,0.363636363636364,0,0.545454545454545,0,0.5,0.5,0.727272727272727,0,0.1,0.5,0.75,1
actinosphaerium,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.75,1,0.818181818181818,0,0.2,0.5,0.909090909090909,0,0.6,0.5,0.1,0.5,0.272727272727273,0,0.363636363636364,0,0.727272727272727,0,0.636363636363636,0,0.875,1
acupuncturation,0.1,0.5,0.375,1,0.636363636363636,0,0.909090909090909,0,0.636363636363636,0,0.75,1,0.375,1,0.454545454545455,0,0.636363636363636,0,0.363636363636364,0,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.818181818181818,0,0.75,1
addleheadedness,0.1,0.5,0.3,0.5,0.3,0.5,0.9,0.5,0.272727272727273,0,0.6,0.5,0.272727272727273,0,0.1,0.5,0.3,0.5,0.272727272727273,0,0.3,0.5,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
adenocarcinomas,0.1,0.5,0.3,0.5,0.272727272727273,0,0.75,1,0.818181818181818,0,0.375,1,0.1,0.5,0.363636363636364,0,0.375,1,0.727272727272727,0,0.75,1,0.818181818181818,0,0.875,1,0.1,0.5,0.2,0.5
adenocellulitis,0.1,0.5,0.3,0.5,0.272727272727273,0,0.75,1,0.818181818181818,0,0.375,1,0.272727272727273,0,0.9,0.5,0.9,0.5,0.636363636363636,0,0.9,0.5,0.727272727272727,0,0.454545454545455,0,0.727272727272727,0,0.2,0.5
adenohypophysis,0.1,0.5,0.3,0.5,0.272727272727273,0,0.75,1,0.818181818181818,0,0.6,0.5,0.545454545454545,0,0.909090909090909,0,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.545454545454545,0,0.2,0.5,0.727272727272727,0,0.2,0.5
adenoidectomies,0.1,0.5,0.3,0.5,0.272727272727273,0,0.75,1,0.818181818181818,0,0.727272727272727,0,0.3,0.5,0.272727272727273,0,0.375,1,0.454545454545455,0,0.818181818181818,0,0.875,1,0.727272727272727,0,0.272727272727273,0,0.2,0.5
adenolymphocele,0.1,0.5,0.3,0.5,0.272727272727273,0,0.75,1,0.818181818181818,0,0.9,0.5,0.545454545454545,0,0.875,1,0.909090909090909,0,0.6,0.5,0.818181818181818,0,0.375,1,0.272727272727273,0,0.9,0.5,0.272727272727273,0
adenomyofibroma,0.1,0.5,0.3,0.5,0.272727272727273,0,0.75,1,0.818181818181818,0,0.875,1,0.545454545454545,0,0.818181818181818,0,0.4,0.5,0.727272727272727,0,0.625,1,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5
adenopharyngeal,0.1,0.5,0.3,0.5,0.272727272727273,0,0.75,1,0.818181818181818,0,0.909090909090909,0,0.6,0.5,0.1,0.5,0.363636363636364,0,0.545454545454545,0,0.75,1,0.5,0.5,0.272727272727273,0,0.1,0.5,0.9,0.5
adiadokokinesia,0.1,0.5,0.3,0.5,0.727272727272727,0,0.1,0.5,0.3,0.5,0.818181818181818,0,0.8,0.5,0.818181818181818,0,0.8,0.5,0.727272727272727,0,0.75,1,0.272727272727273,0,0.2,0.5,0.727272727272727,0,0.1,0.5
adiaphanousness,0.1,0.5,0.3,0.5,0.727272727272727,0,0.1,0.5,0.909090909090909,0,0.6,0.5,0.1,0.5,0.75,1,0.818181818181818,0,0.636363636363636,0,0.2,0.5,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
administrations,0.1,0.5,0.3,0.5,0.875,1,0.727272727272727,0,0.75,1,0.727272727272727,0,0.2,0.5,0.454545454545455,0,0.363636363636364,0,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.818181818181818,0,0.75,1,0.2,0.5
administratress,0.1,0.5,0.3,0.5,0.875,1,0.727272727272727,0,0.75,1,0.727272727272727,0,0.2,0.5,0.454545454545455,0,0.363636363636364,0,0.1,0.5,0.454545454545455,0,0.363636363636364,0,0.272727272727273,0,0.2,0.5,0.2,0.5
adrenalcortical,0.1,0.5,0.3,0.5,0.363636363636364,0,0.272727272727273,0,0.75,1,0.1,0.5,0.9,0.5,0.375,1,0.818181818181818,0,0.363636363636364,0,0.454545454545455,0,0.727272727272727,0,0.375,1,0.1,0.5,0.9,0.5
adrenalectomies,0.1,0.5,0.3,0.5,0.363636363636364,0,0.272727272727273,0,0.75,1,0.1,0.5,0.9,0.5,0.272727272727273,0,0.375,1,0.454545454545455,0,0.818181818181818,0,0.875,1,0.727272727272727,0,0.272727272727273,0,0.2,0.5
adrenalectomize,0.1,0.5,0.3,0.5,0.363636363636364,0,0.272727272727273,0,0.75,1,0.1,0.5,0.9,0.5,0.272727272727273,0,0.375,1,0.454545454545455,0,0.818181818181818,0,0.875,1,0.727272727272727,0,0.125,1,0.272727272727273,0
adrenomedullary,0.1,0.5,0.3,0.5,0.363636363636364,0,0.272727272727273,0,0.75,1,0.818181818181818,0,0.875,1,0.272727272727273,0,0.3,0.5,0.636363636363636,0,0.9,0.5,0.9,0.5,0.1,0.5,0.363636363636364,0,0.545454545454545,0
adsignification,0.1,0.5,0.3,0.5,0.2,0.5,0.727272727272727,0,0.5,0.5,0.75,1,0.727272727272727,0,0.4,0.5,0.727272727272727,0,0.375,1,0.1,0.5,0.454545454545455,0,0.727272727272727,0,0.818181818181818,0,0.75,1
adventuresomely,0.1,0.5,0.3,0.5,0.5,1,0.272727272727273,0,0.75,1,0.454545454545455,0,0.636363636363636,0,0.363636363636364,0,0.272727272727273,0,0.2,0.5,0.818181818181818,0,0.875,1,0.272727272727273,0,0.9,0.5,0.545454545454545,0
adventurousness,0.1,0.5,0.3,0.5,0.5,1,0.272727272727273,0,0.75,1,0.454545454545455,0,0.636363636363636,0,0.363636363636364,0,0.818181818181818,0,0.636363636363636,0,0.2,0.5,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
aecioteliospore,0.1,0.5,0.272727272727273,0,0.375,1,0.727272727272727,0,0.818181818181818,0,0.454545454545455,0,0.272727272727273,0,0.9,0.5,0.727272727272727,0,0.818181818181818,0,0.2,0.5,0.909090909090909,0,0.818181818181818,0,0.363636363636364,0,0.272727272727273,0
aegithognathism,0.1,0.5,0.272727272727273,0,0.5,0.5,0.727272727272727,0,0.454545454545455,0,0.6,0.5,0.818181818181818,0,0.5,0.5,0.75,1,0.1,0.5,0.454545454545455,0,0.6,0.5,0.727272727272727,0,0.2,0.5,0.875,1
aegithognathous,0.1,0.5,0.272727272727273,0,0.5,0.5,0.727272727272727,0,0.454545454545455,0,0.6,0.5,0.818181818181818,0,0.5,0.5,0.75,1,0.1,0.5,0.454545454545455,0,0.6,0.5,0.818181818181818,0,0.636363636363636,0,0.2,0.5
