word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12
abeigh,0.1,0.5,0.625,1,0.272727272727273,0,0.727272727272727,0,0.5,0.5,0.6,0.5
abeles,0.1,0.5,0.625,1,0.272727272727273,0,0.9,0.5,0.272727272727273,0,0.2,0.5
abelia,0.1,0.5,0.625,1,0.272727272727273,0,0.9,0.5,0.727272727272727,0,0.1,0.5
abends,0.1,0.5,0.625,1,0.272727272727273,0,0.75,1,0.3,0.5,0.2,0.5
aberia,0.1,0.5,0.625,1,0.272727272727273,0,0.363636363636364,0,0.727272727272727,0,0.1,0.5
abesse,0.1,0.5,0.625,1,0.272727272727273,0,0.2,0.5,0.2,0.5,0.272727272727273,0
abhors,0.1,0.5,0.625,1,0.6,0.5,0.818181818181818,0,0.363636363636364,0,0.2,0.5
abidal,0.1,0.5,0.625,1,0.727272727272727,0,0.3,0.5,0.1,0.5,0.9,0.5
abided,0.1,0.5,0.625,1,0.727272727272727,0,0.3,0.5,0.272727272727273,0,0.3,0.5
abider,0.1,0.5,0.625,1,0.727272727272727,0,0.3,0.5,0.272727272727273,0,0.363636363636364,0
abides,0.1,0.5,0.625,1,0.727272727272727,0,0.3,0.5,0.272727272727273,0,0.2,0.5
abiegh,0.1,0.5,0.625,1,0.727272727272727,0,0.272727272727273,0,0.5,0.5,0.6,0.5
abient,0.1,0.5,0.625,1,0.727272727272727,0,0.272727272727273,0,0.75,1,0.454545454545455,0
abigei,0.1,0.5,0.625,1,0.727272727272727,0,0.5,0.5,0.272727272727273,0,0.727272727272727,0
abying,0.1,0.5,0.625,1,0.545454545454545,0,0.727272727272727,0,0.75,1,0.5,0.5
abilao,0.1,0.5,0.625,1,0.727272727272727,0,0.9,0.5,0.1,0.5,0.818181818181818,0
abilla,0.1,0.5,0.625,1,0.727272727272727,0,0.9,0.5,0.9,0.5,0.1,0.5
abipon,0.1,0.5,0.625,1,0.727272727272727,0,0.909090909090909,0,0.818181818181818,0,0.75,1
abysms,0.1,0.5,0.625,1,0.545454545454545,0,0.2,0.5,0.875,1,0.2,0.5
abyssa,0.1,0.5,0.625,1,0.545454545454545,0,0.2,0.5,0.2,0.5,0.1,0.5
abject,0.1,0.5,0.625,1,0.7,0.5,0.272727272727273,0,0.375,1,0.454545454545455,0
abjure,0.1,0.5,0.625,1,0.7,0.5,0.636363636363636,0,0.363636363636364,0,0.272727272727273,0
abkari,0.1,0.5,0.625,1,0.8,0.5,0.1,0.5,0.363636363636364,0,0.727272727272727,0
abkary,0.1,0.5,0.625,1,0.8,0.5,0.1,0.5,0.363636363636364,0,0.545454545454545,0
abkhas,0.1,0.5,0.625,1,0.8,0.5,0.6,0.5,0.1,0.5,0.2,0.5
ablach,0.1,0.5,0.625,1,0.9,0.5,0.1,0.5,0.375,1,0.6,0.5
ablare,0.1,0.5,0.625,1,0.9,0.5,0.1,0.5,0.363636363636364,0,0.272727272727273,0
ablate,0.1,0.5,0.625,1,0.9,0.5,0.1,0.5,0.454545454545455,0,0.272727272727273,0
ablaut,0.1,0.5,0.625,1,0.9,0.5,0.1,0.5,0.636363636363636,0,0.454545454545455,0
ablaze,0.1,0.5,0.625,1,0.9,0.5,0.1,0.5,0.125,1,0.272727272727273,0
