word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8
ados,0.1,0.5,0.3,0.5,0.818181818181818,0,0.2,0.5
adry,0.1,0.5,0.3,0.5,0.363636363636364,0,0.545454545454545,0
advt,0.1,0.5,0.3,0.5,0.5,1,0.454545454545455,0
adze,0.1,0.5,0.3,0.5,0.125,1,0.272727272727273,0
aeon,0.1,0.5,0.272727272727273,0,0.818181818181818,0,0.75,1
aery,0.1,0.5,0.272727272727273,0,0.363636363636364,0,0.545454545454545,0
aero,0.1,0.5,0.272727272727273,0,0.363636363636364,0,0.818181818181818,0
aesc,0.1,0.5,0.272727272727273,0,0.2,0.5,0.375,1
afar,0.1,0.5,0.4,0.5,0.1,0.5,0.363636363636364,0
afer,0.1,0.5,0.4,0.5,0.272727272727273,0,0.363636363636364,0
affa,0.1,0.5,0.4,0.5,0.4,0.5,0.1,0.5
affy,0.1,0.5,0.4,0.5,0.4,0.5,0.545454545454545,0
afft,0.1,0.5,0.4,0.5,0.4,0.5,0.454545454545455,0
afro,0.1,0.5,0.4,0.5,0.363636363636364,0,0.818181818181818,0
agad,0.1,0.5,0.5,0.5,0.1,0.5,0.3,0.5
agag,0.1,0.5,0.5,0.5,0.1,0.5,0.5,0.5
agal,0.1,0.5,0.5,0.5,0.1,0.5,0.9,0.5
agao,0.1,0.5,0.5,0.5,0.1,0.5,0.818181818181818,0
agar,0.1,0.5,0.5,0.5,0.1,0.5,0.363636363636364,0
agas,0.1,0.5,0.5,0.5,0.1,0.5,0.2,0.5
agau,0.1,0.5,0.5,0.5,0.1,0.5,0.636363636363636,0
agaz,0.1,0.5,0.5,0.5,0.1,0.5,0.125,1
agba,0.1,0.5,0.5,0.5,0.625,1,0.1,0.5
agcy,0.1,0.5,0.5,0.5,0.375,1,0.545454545454545,0
aged,0.1,0.5,0.5,0.5,0.272727272727273,0,0.3,0.5
agee,0.1,0.5,0.5,0.5,0.272727272727273,0,0.272727272727273,0
agen,0.1,0.5,0.5,0.5,0.272727272727273,0,0.75,1
ager,0.1,0.5,0.5,0.5,0.272727272727273,0,0.363636363636364,0
ages,0.1,0.5,0.5,0.5,0.272727272727273,0,0.2,0.5
aget,0.1,0.5,0.5,0.5,0.272727272727273,0,0.454545454545455,0
agha,0.1,0.5,0.5,0.5,0.6,0.5,0.1,0.5
agib,0.1,0.5,0.5,0.5,0.727272727272727,0,0.625,1
agin,0.1,0.5,0.5,0.5,0.727272727272727,0,0.75,1
agio,0.1,0.5,0.5,0.5,0.727272727272727,0,0.818181818181818,0
agit,0.1,0.5,0.5,0.5,0.727272727272727,0,0.454545454545455,0
agla,0.1,0.5,0.5,0.5,0.9,0.5,0.1,0.5
agly,0.1,0.5,0.5,0.5,0.9,0.5,0.545454545454545,0
agma,0.1,0.5,0.5,0.5,0.875,1,0.1,0.5
agog,0.1,0.5,0.5,0.5,0.818181818181818,0,0.5,0.5
agon,0.1,0.5,0.5,0.5,0.818181818181818,0,0.75,1
agos,0.1,0.5,0.5,0.5,0.818181818181818,0,0.2,0.5
agra,0.1,0.5,0.5,0.5,0.363636363636364,0,0.1,0.5
agre,0.1,0.5,0.5,0.5,0.363636363636364,0,0.272727272727273,0
agst,0.1,0.5,0.5,0.5,0.2,0.5,0.454545454545455,0
agua,0.1,0.5,0.5,0.5,0.636363636363636,0,0.1,0.5
ague,0.1,0.5,0.5,0.5,0.636363636363636,0,0.272727272727273,0
ahab,0.1,0.5,0.6,0.5,0.1,0.5,0.625,1
ahey,0.1,0.5,0.6,0.5,0.272727272727273,0,0.545454545454545,0
ahem,0.1,0.5,0.6,0.5,0.272727272727273,0,0.875,1
ahet,0.1,0.5,0.6,0.5,0.272727272727273,0,0.454545454545455,0
ahir,0.1,0.5,0.6,0.5,0.727272727272727,0,0.363636363636364,0
ahoy,0.1,0.5,0.6,0.5,0.818181818181818,0,0.545454545454545,0
ahom,0.1,0.5,0.6,0.5,0.818181818181818,0,0.875,1
ahum,0.1,0.5,0.6,0.5,0.636363636363636,0,0.875,1
ayah,0.1,0.5,0.545454545454545,0,0.1,0.5,0.6,0.5
aias,0.1,0.5,0.727272727272727,0,0.1,0.5,0.2,0.5
