word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8
"אאבד",0.333333333333333,0,0.333333333333333,0,0.3,2,0.181818181818182,1
"אאבל",0.333333333333333,0,0.333333333333333,0,0.3,2,0.727272727272727,1
"אאבן",0.333333333333333,0,0.333333333333333,0,0.3,2,0.666666666666667,0
"אאבק",0.333333333333333,0,0.333333333333333,0,0.3,2,0.111111111111111,0
"אאגד",0.333333333333333,0,0.333333333333333,0,0.272727272727273,1,0.181818181818182,1
"אאגם",0.333333333333333,0,0.333333333333333,0,0.272727272727273,1,0.777777777777778,0
"אאגף",0.333333333333333,0,0.333333333333333,0,0.272727272727273,1,0.909090909090909,1
"אאדה",0.333333333333333,0,0.333333333333333,0,0.181818181818182,1,0.4,2
"אאוץ",0.333333333333333,0,0.333333333333333,0,0.555555555555556,0,0.9,2
"אאזל",0.333333333333333,0,0.333333333333333,0,0.1,2,0.727272727272727,1
"אאזן",0.333333333333333,0,0.333333333333333,0,0.1,2,0.666666666666667,0
"אאחד",0.333333333333333,0,0.333333333333333,0,0.636363636363636,1,0.181818181818182,1
"אאחה",0.333333333333333,0,0.333333333333333,0,0.636363636363636,1,0.4,2
"אאחז",0.333333333333333,0,0.333333333333333,0,0.636363636363636,1,0.1,2
"אאחל",0.333333333333333,0,0.333333333333333,0,0.636363636363636,1,0.727272727272727,1
"אאחר",0.333333333333333,0,0.333333333333333,0,0.636363636363636,1,0.222222222222222,0
"אאיץ",0.333333333333333,0,0.333333333333333,0,0.545454545454545,1,0.9,2
"אאיר",0.333333333333333,0,0.333333333333333,0,0.545454545454545,1,0.222222222222222,0
"אאכל",0.333333333333333,0,0.333333333333333,0,0.363636363636364,1,0.727272727272727,1
"אאכן",0.333333333333333,0,0.333333333333333,0,0.363636363636364,1,0.666666666666667,0
"אאלף",0.333333333333333,0,0.333333333333333,0,0.727272727272727,1,0.909090909090909,1
"אאלץ",0.333333333333333,0,0.333333333333333,0,0.727272727272727,1,0.9,2
"אאמן",0.333333333333333,0,0.333333333333333,0,0.6,2,0.666666666666667,0
"אאמץ",0.333333333333333,0,0.333333333333333,0,0.6,2,0.9,2
"אאמת",0.333333333333333,0,0.333333333333333,0,0.6,2,0.8,2
"אאפס",0.333333333333333,0,0.333333333333333,0,0.888888888888889,0,0.2,2
"אאפר",0.333333333333333,0,0.333333333333333,0,0.888888888888889,0,0.222222222222222,0
"אארח",0.333333333333333,0,0.333333333333333,0,0.222222222222222,0,0.636363636363636,1
"אארס",0.333333333333333,0,0.333333333333333,0,0.222222222222222,0,0.2,2
"אאשם",0.333333333333333,0,0.333333333333333,0,0.0909090909090909,1,0.777777777777778,0
"אאשר",0.333333333333333,0,0.333333333333333,0,0.0909090909090909,1,0.222222222222222,0
"אאשש",0.333333333333333,0,0.333333333333333,0,0.0909090909090909,1,0.0909090909090909,1
"אאתר",0.333333333333333,0,0.333333333333333,0,0.8,2,0.222222222222222,0
"אבאס",0.333333333333333,0,0.3,2,0.333333333333333,0,0.2,2
"אבאר",0.333333333333333,0,0.3,2,0.333333333333333,0,0.222222222222222,0
"אבאש",0.333333333333333,0,0.3,2,0.333333333333333,0,0.0909090909090909,1
"אבגד",0.333333333333333,0,0.3,2,0.272727272727273,1,0.181818181818182,1
"אבגר",0.333333333333333,0,0.3,2,0.272727272727273,1,0.222222222222222,0
"אבדה",0.333333333333333,0,0.3,2,0.181818181818182,1,0.4,2
"אבדו",0.333333333333333,0,0.3,2,0.181818181818182,1,0.555555555555556,0
"אבדי",0.333333333333333,0,0.3,2,0.181818181818182,1,0.545454545454545,1
"אבדך",0.333333333333333,0,0.3,2,0.181818181818182,1,0.818181818181818,1
"אבדל",0.333333333333333,0,0.3,2,0.181818181818182,1,0.727272727272727,1
"אבדם",0.333333333333333,0,0.3,2,0.181818181818182,1,0.777777777777778,0
