word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30,mat_31,mat_32
אדמיניסטרציותיהם,0.333333333333333,0,0.181818181818182,1,0.6,2,0.545454545454545,1,0.5,2,0.545454545454545,1,0.2,2,0.444444444444444,0,0.222222222222222,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.777777777777778,0
אדמיניסטרציותיהן,0.333333333333333,0,0.181818181818182,1,0.6,2,0.545454545454545,1,0.5,2,0.545454545454545,1,0.2,2,0.444444444444444,0,0.222222222222222,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.666666666666667,0
אדמיניסטרציותייך,0.333333333333333,0,0.181818181818182,1,0.6,2,0.545454545454545,1,0.5,2,0.545454545454545,1,0.2,2,0.444444444444444,0,0.222222222222222,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1,0.818181818181818,1
אדמיניסטרציותיכם,0.333333333333333,0,0.181818181818182,1,0.6,2,0.545454545454545,1,0.5,2,0.545454545454545,1,0.2,2,0.444444444444444,0,0.222222222222222,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.777777777777778,0
אדמיניסטרציותיכן,0.333333333333333,0,0.181818181818182,1,0.6,2,0.545454545454545,1,0.5,2,0.545454545454545,1,0.2,2,0.444444444444444,0,0.222222222222222,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.666666666666667,0
אדמיניסטרציותינו,0.333333333333333,0,0.181818181818182,1,0.6,2,0.545454545454545,1,0.5,2,0.545454545454545,1,0.2,2,0.444444444444444,0,0.222222222222222,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.5,2,0.555555555555556,0
אוטואמנציפציותיה,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,2,0.5,2,0.7,2,0.545454545454545,1,0.888888888888889,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2
אוטואמנציפציותיו,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,2,0.5,2,0.7,2,0.545454545454545,1,0.888888888888889,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.555555555555556,0
אוטואמנציפציותיי,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,2,0.5,2,0.7,2,0.545454545454545,1,0.888888888888889,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1
אוטואמנציפציותיך,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,2,0.5,2,0.7,2,0.545454545454545,1,0.888888888888889,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.818181818181818,1
אוטואמנציפצייתכם,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,2,0.5,2,0.7,2,0.545454545454545,1,0.888888888888889,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.363636363636364,1,0.777777777777778,0
אוטואמנציפצייתכן,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,2,0.5,2,0.7,2,0.545454545454545,1,0.888888888888889,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.363636363636364,1,0.666666666666667,0
אוטואמנציפצייתנו,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,2,0.5,2,0.7,2,0.545454545454545,1,0.888888888888889,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.5,2,0.555555555555556,0
אוטוביוגרפיותיהם,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.272727272727273,1,0.222222222222222,0,0.888888888888889,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.777777777777778,0
אוטוביוגרפיותיהן,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.272727272727273,1,0.222222222222222,0,0.888888888888889,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.666666666666667,0
אוטוביוגרפיותייך,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.272727272727273,1,0.222222222222222,0,0.888888888888889,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1,0.818181818181818,1
אוטוביוגרפיותיכם,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.272727272727273,1,0.222222222222222,0,0.888888888888889,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.777777777777778,0
אוטוביוגרפיותיכן,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.272727272727273,1,0.222222222222222,0,0.888888888888889,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.666666666666667,0
אוטוביוגרפיותינו,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.272727272727273,1,0.222222222222222,0,0.888888888888889,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.5,2,0.555555555555556,0
אימפרוביזציותיהם,0.333333333333333,0,0.545454545454545,1,0.6,2,0.888888888888889,0,0.222222222222222,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.1,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.777777777777778,0
אימפרוביזציותיהן,0.333333333333333,0,0.545454545454545,1,0.6,2,0.888888888888889,0,0.222222222222222,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.1,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.666666666666667,0
אימפרוביזציותייך,0.333333333333333,0,0.545454545454545,1,0.6,2,0.888888888888889,0,0.222222222222222,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.1,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1,0.818181818181818,1
אימפרוביזציותיכם,0.333333333333333,0,0.545454545454545,1,0.6,2,0.888888888888889,0,0.222222222222222,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.1,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.777777777777778,0
אימפרוביזציותיכן,0.333333333333333,0,0.545454545454545,1,0.6,2,0.888888888888889,0,0.222222222222222,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.1,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.666666666666667,0
אימפרוביזציותינו,0.333333333333333,0,0.545454545454545,1,0.6,2,0.888888888888889,0,0.222222222222222,0,0.555555555555556,0,0.3,2,0.545454545454545,1,0.1,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.5,2,0.555555555555556,0
אינדוקטרינציותיה,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.555555555555556,0,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.545454545454545,1,0.5,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2
אינדוקטרינציותיו,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.555555555555556,0,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.545454545454545,1,0.5,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.555555555555556,0
אינדוקטרינציותיי,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.555555555555556,0,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.545454545454545,1,0.5,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1
אינדוקטרינציותיך,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.555555555555556,0,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.545454545454545,1,0.5,2,0.7,2,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.818181818181818,1
אינדוקטרינצייתכם,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.555555555555556,0,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.545454545454545,1,0.5,2,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.363636363636364,1,0.777777777777778,0
אינדוקטרינצייתכן,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.555555555555556,0,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.545454545454545,1,0.5,2,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.363636363636364,1,0.666666666666667,0
אינדוקטרינצייתנו,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.555555555555556,0,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.545454545454545,1,0.5,2,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.5,2,0.555555555555556,0
אינדיבידואליסטיי,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.545454545454545,1,0.3,2,0.545454545454545,1,0.181818181818182,1,0.555555555555556,0,0.333333333333333,0,0.727272727272727,1,0.545454545454545,1,0.2,2,0.444444444444444,0,0.545454545454545,1,0.545454545454545,1
אינדיבידואליסטים,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.545454545454545,1,0.3,2,0.545454545454545,1,0.181818181818182,1,0.555555555555556,0,0.333333333333333,0,0.727272727272727,1,0.545454545454545,1,0.2,2,0.444444444444444,0,0.545454545454545,1,0.777777777777778,0
אינדיבידואליסטית,0.333333333333333,0,0.545454545454545,1,0.5,2,0.181818181818182,1,0.545454545454545,1,0.3,2,0.545454545454545,1,0.181818181818182,1,0.555555555555556,0,0.333333333333333,0,0.727272727272727,1,0.545454545454545,1,0.2,2,0.444444444444444,0,0.545454545454545,1,0.8,2
אינטרדיסציפלינרי,0.333333333333333,0,0.545454545454545,1,0.5,2,0.444444444444444,0,0.222222222222222,0,0.181818181818182,1,0.545454545454545,1,0.2,2,0.7,2,0.545454545454545,1,0.888888888888889,0,0.727272727272727,1,0.545454545454545,1,0.5,2,0.222222222222222,0,0.545454545454545,1
אלקטרופיזיולוגיה,0.333333333333333,0,0.727272727272727,1,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,1,0.1,2,0.545454545454545,1,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.272727272727273,1,0.545454545454545,1,0.4,2
אלקטרופיזיולוגיי,0.333333333333333,0,0.727272727272727,1,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,1,0.1,2,0.545454545454545,1,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.272727272727273,1,0.545454545454545,1,0.545454545454545,1
אלקטרופיזיולוגית,0.333333333333333,0,0.727272727272727,1,0.111111111111111,0,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,1,0.1,2,0.545454545454545,1,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.272727272727273,1,0.545454545454545,1,0.8,2
אנתרופולוגיותיהם,0.333333333333333,0,0.5,2,0.8,2,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.272727272727273,1,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.777777777777778,0
אנתרופולוגיותיהן,0.333333333333333,0,0.5,2,0.8,2,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.272727272727273,1,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.666666666666667,0
אנתרופולוגיותייך,0.333333333333333,0,0.5,2,0.8,2,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.272727272727273,1,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1,0.818181818181818,1
אנתרופולוגיותיכם,0.333333333333333,0,0.5,2,0.8,2,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.272727272727273,1,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.777777777777778,0
אנתרופולוגיותיכן,0.333333333333333,0,0.5,2,0.8,2,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.272727272727273,1,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.666666666666667,0
