word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20
"אבולוציוני",0.333333333333333,0,0.3,2,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.7,2,0.545454545454545,1,0.555555555555556,0,0.5,2,0.545454545454545,1
"אבולוצייתה",0.333333333333333,0,0.3,2,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.4,2
"אבולוצייתו",0.333333333333333,0,0.3,2,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.555555555555556,0
"אבולוצייתי",0.333333333333333,0,0.3,2,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.545454545454545,1
"אבולוצייתך",0.333333333333333,0,0.3,2,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.818181818181818,1
"אבולוצייתם",0.333333333333333,0,0.3,2,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.777777777777778,0
"אבולוצייתן",0.333333333333333,0,0.3,2,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.7,2,0.545454545454545,1,0.545454545454545,1,0.8,2,0.666666666666667,0
"אבוקדותיהם",0.333333333333333,0,0.3,2,0.555555555555556,0,0.111111111111111,0,0.181818181818182,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.777777777777778,0
"אבוקדותיהן",0.333333333333333,0,0.3,2,0.555555555555556,0,0.111111111111111,0,0.181818181818182,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.666666666666667,0
"אבוקדותייך",0.333333333333333,0,0.3,2,0.555555555555556,0,0.111111111111111,0,0.181818181818182,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1,0.818181818181818,1
"אבוקדותיכם",0.333333333333333,0,0.3,2,0.555555555555556,0,0.111111111111111,0,0.181818181818182,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.777777777777778,0
"אבוקדותיכן",0.333333333333333,0,0.3,2,0.555555555555556,0,0.111111111111111,0,0.181818181818182,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.666666666666667,0
"אבוקדותינו",0.333333333333333,0,0.3,2,0.555555555555556,0,0.111111111111111,0,0.181818181818182,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.5,2,0.555555555555556,0
"אבוריג'יניי",0.333333333333333,0,0.3,2,0.555555555555556,0,0.222222222222222,0,0.545454545454545,1,0.272727272727273,1,0.545454545454545,1,0.5,2,0.545454545454545,1,0.545454545454545,1
"אבוריג'ינים",0.333333333333333,0,0.3,2,0.555555555555556,0,0.222222222222222,0,0.545454545454545,1,0.272727272727273,1,0.545454545454545,1,0.5,2,0.545454545454545,1,0.777777777777778,0
"אבוריג'ינית",0.333333333333333,0,0.3,2,0.555555555555556,0,0.222222222222222,0,0.545454545454545,1,0.272727272727273,1,0.545454545454545,1,0.5,2,0.545454545454545,1,0.8,2
"אביונותיהם",0.333333333333333,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.5,2,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.777777777777778,0
"אביונותיהן",0.333333333333333,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.5,2,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2,0.666666666666667,0
"אביונותייך",0.333333333333333,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.5,2,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1,0.818181818181818,1
"אביונותיכם",0.333333333333333,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.5,2,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.777777777777778,0
"אביונותיכן",0.333333333333333,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.5,2,0.555555555555556,0,0.8,2,0.545454545454545,1,0.363636363636364,1,0.666666666666667,0
"אביונותינו",0.333333333333333,0,0.3,2,0.545454545454545,1,0.555555555555556,0,0.5,2,0.555555555555556,0,0.8,2,0.545454545454545,1,0.5,2,0.555555555555556,0
"אבירויותיה",0.333333333333333,0,0.3,2,0.545454545454545,1,0.222222222222222,0,0.555555555555556,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.4,2
"אבירויותיו",0.333333333333333,0,0.3,2,0.545454545454545,1,0.222222222222222,0,0.555555555555556,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.555555555555556,0
"אבירויותיי",0.333333333333333,0,0.3,2,0.545454545454545,1,0.222222222222222,0,0.555555555555556,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.545454545454545,1
"אבירויותיך",0.333333333333333,0,0.3,2,0.545454545454545,1,0.222222222222222,0,0.555555555555556,0,0.545454545454545,1,0.555555555555556,0,0.8,2,0.545454545454545,1,0.818181818181818,1
"אבסולוטיות",0.333333333333333,0,0.3,2,0.2,2,0.555555555555556,0,0.727272727272727,1,0.555555555555556,0,0.444444444444444,0,0.545454545454545,1,0.555555555555556,0,0.8,2
